system,component,station,head,crps_mean,crps_se,n_crps,n_seeds_crps,nll_mean,nll_se,n_nll,n_seeds_nll,n_censored_excl_crps,crps_paired_diff,crps_paired_se,n_seeds_paired_crps,nll_paired_diff,nll_paired_se,n_seeds_paired_nll
RefSim-V,survival,M4.2,,51097.563622654714,1693.7719737300004,58,10,11.179211586850053,0.05107476010316045,68,10,10,23592.62416160629,5334.6971640982765,10.0,1.183602418765453,0.15291194682603831,10.0
RefSim-V,survival,M5,,62647.72322401402,1203.8035226005359,46,10,11.266041717827168,0.2567729597463911,55,10,9,37543.71803835895,5122.581386167465,10.0,1.2798288065849044,0.19880227420951466,10.0
RefSim-V,survival,POOLED,,41505.69884199683,413.7126387921647,842,10,11.71958925685006,0.017133462080720807,931,10,89,22569.521962306684,579.1657238796014,10.0,1.3251408811344645,0.03386467933691226,10.0
RefSim-V,repair,M1.1,,964.3777515777562,70.42705373018634,174,10,8.552415972355034,0.09162049243825578,174,10,0,43.822721663930736,14.543882319382636,10.0,0.06541361958551697,0.02036764154288549,10.0
RefSim-V,repair,M1.2,,701.3493275981511,75.09020146203648,141,10,8.222735725925368,0.1051425503252903,141,10,0,9.169276114093549,10.511659858561208,10.0,0.010802306531996386,0.0239398559311929,10.0
RefSim-V,repair,M2.1,,1420.627361148455,164.03599011044201,64,10,8.976096950601496,0.11622590485310376,64,10,0,21.38087493548186,25.88844587502789,10.0,0.02680633453814334,0.022962408549824,10.0
RefSim-V,repair,M2.2,,1602.0554892738191,286.8578167163836,70,10,9.03788244701072,0.14607346232782023,70,10,0,51.764845866319625,36.86810830412003,10.0,0.025229538672293474,0.02587246339610123,10.0
RefSim-V,repair,M3.1,,1061.621768959005,103.76508834316155,139,10,8.562165646997782,0.11875669504433702,139,10,0,26.553352266139473,15.512194778619184,10.0,0.03582236345893284,0.02063444191731254,10.0
RefSim-V,repair,M3.2,,1228.2591407026919,64.53538028038402,116,10,8.797608400518438,0.08336746474078686,116,10,0,35.274210123573525,18.34680565111668,10.0,0.03535799386002072,0.016778637028251324,10.0
RefSim-V,repair,M4.1,,356.51637944408606,43.08501190573649,104,10,7.604151575784994,0.11837169102982849,104,10,0,-2.0178134167613395,10.744193035808548,10.0,0.0024060000218287135,0.029712166159502923,10.0
RefSim-V,repair,M4.2,,823.2166470617631,139.71147185869273,68,10,8.40608923245597,0.17756642412804877,68,10,0,66.53706414228486,25.90096974974453,10.0,0.10410570151519556,0.039972295081858525,10.0
RefSim-V,repair,M5,,2415.6729790865647,563.9566969915231,56,10,9.53329656422451,0.22267160955538393,56,10,0,49.60463370551813,50.840108885792574,10.0,0.029936168431016697,0.028341703208344532,10.0
