station,t_op_s,h_true
M3.1,124379.92558701479,1.796695239294909e-06
M3.1,126182.53320421789,2.0027872183689266e-06
M3.1,127985.14082142101,2.2325192132395667e-06
M3.1,129787.74843862413,2.488602878913372e-06
M3.1,131590.35605582723,2.7740609138808535e-06
M3.1,133392.96367303035,3.0922627387145127e-06
M3.1,135195.57129023346,3.4469642672211627e-06
M3.1,136998.17890743658,3.842352239589707e-06
M3.1,138800.7865246397,4.283093640823286e-06
M3.1,140603.3941418428,4.774390787769032e-06
M3.1,142406.0017590459,5.322042734968625e-06
M3.1,144208.60937624902,5.932513724136837e-06
M3.1,146011.21699345214,6.6130094852159185e-06
M3.1,147813.82461065525,7.371562289629354e-06
M3.1,149616.43222785837,8.217125759666325e-06
M3.1,151419.0398450615,9.1596805530849e-06
M3.1,153221.64746226458,1.0210352170388147e-05
M3.1,155024.2550794677,1.1381542275318694e-05
M3.1,156826.8626966708,1.2687075078620127e-05
M3.1,158629.47031387393,1.4142360512915386e-05
M3.1,160432.07793107704,1.5764576124745455e-05
M3.1,162234.68554828016,1.7572869830742506e-05
M3.1,164037.29316548325,1.9588585931180934e-05
M3.1,165839.90078268637,2.1835517048671304e-05
M3.1,167642.50839988948,2.4340184965769593e-05
M3.1,169445.1160170926,2.713215367638503e-05
M3.1,171247.72363429572,3.024437834610757e-05
M3.1,173050.33125149884,3.371359430042756e-05
M3.1,174852.93886870195,3.7580750632294084e-05
M3.1,176655.54648590504,4.1891493547122505e-05
M3.1,178458.15410310816,4.669670515044438e-05
M3.1,180260.76172031127,5.205310403780819e-05
M3.1,182063.3693375144,5.8023914776031986e-05
M3.1,183865.9769547175,6.467961417806727e-05
M3.1,185668.58457192063,7.209876318017234e-05
M3.1,187471.19218912374,8.036893414050845e-05
M3.1,189273.79980632683,8.958774450457806e-05
M3.1,191076.40742352995,9.986400903844078e-05
M3.1,192879.01504073307,0.00011131902423015167
M3.1,194681.62265793618,0.0001240880000199379
M3.1,196484.2302751393,0.00013832165575861628
M3.1,198286.83789234242,0.00015418799923224593
M3.1,200089.44550954553,0.000171874309751835
M3.1,201892.05312674862,0.00019158934871561423
M3.1,203694.66074395174,0.00021356582373638575
M3.1,205497.26836115486,0.00023806313541940516
M3.1,207299.87597835797,0.000265370439212566
M3.1,209102.4835955611,0.0002958100584695979
M3.1,210905.0912127642,0.00032974128901258414
M3.1,212707.6988299673,0.00036756464010115824
M3.1,214510.3064471704,0.00040972656186692453
M3.1,216312.91406437353,0.0004567247150136355
M3.1,218115.52168157665,0.0005091138449843454
M3.1,219918.12929877976,0.0005675123299316224
M3.1,221720.73691598288,0.000632609479780149
M3.1,223523.344533186,0.0007051736725366468
M3.1,225325.9521503891,0.0007860614238845055
M3.1,227128.5597675922,0.0008762274971166448
M3.1,228931.16738479532,0.0009767361727397368
M3.1,230733.77500199844,0.0010887738107712762
M3.1,232536.38261920155,0.0012136628540092792
M3.1,234338.99023640467,0.0013528774375629997
M3.1,236141.5978536078,0.0015080607888927262
M3.1,237944.20547081088,0.0016810446237409719
M3.1,239746.813088014,0.0018738707668961574
M3.1,241549.4207052171,0.0020888152529906
M3.1,243352.02832242023,0.002328415191808145
M3.1,245154.63593962335,0.0025954987152075138
M3.1,246957.24355682646,0.0028932183591417328
M3.1,248759.85117402958,0.003225088274800222
M3.1,250562.45879123267,0.0035950257080973763
M3.1,252365.06640843578,0.004007397237113355
M3.1,254167.6740256389,0.004467070313253165
M3.1,255970.28164284202,0.00497947071449341
M3.1,257772.88926004514,0.005550646588869184
M3.1,259575.49687724825,0.0061873398441423715
M3.1,261378.10449445134,0.006897065726303247
M3.1,263180.71211165446,0.0076882015262151075
M3.1,264983.3197288576,0.008570085461455799
M3.1,266785.9273460607,0.009553126900513648
M3.1,268588.5349632638,0.010648929230376056
M3.1,270391.1425804669,0.011870426817784779
M3.1,272193.75019767,0.013232037680788221
M3.1,273996.35781487316,0.014749833672659302
M3.1,275798.96543207625,0.016441730186952917
M3.1,277601.5730492794,0.018327697622899358
M3.1,279404.1806664825,0.020429997107176807
M3.1,281206.7882836856,0.02277344325441922
M3.1,283009.3959008887,0.02538569706796815
M3.1,284812.0035180918,0.028297592438139053
M3.1,286614.61113529495,0.03154350009184597
M3.1,288417.21875249804,0.03516173328948112
M3.1,290219.8263697012,0.03919500005772064
M3.1,292022.4339869043,0.04369090729620798
M3.1,293825.04160410736,0.0487025227083735
M3.1,295627.6492213105,0.054289001189167754
M3.1,297430.2568385136,0.06051628306331458
M3.1,299232.86445571674,0.06745787241578406
M3.1,301035.47207291983,0.07519570470154618
M3.1,302838.079690123,0.08382111387549689
M3.1,304640.68730732606,0.09343591045812087
M3.1,306443.29492452915,0.10415358326191447
M3.1,308245.9025417323,0.11610063896320483
M3.1,310048.5101589354,0.12941809533108306
M3.1,311851.11777613853,0.14426314573887525
M3.1,313653.7253933416,0.16081101460529215
M3.1,315456.33301054477,0.17925702566608465
M3.1,317258.94062774786,0.19981890748914924
M3.1,319061.54824495094,0.22273936344639164
M3.1,320864.1558621541,0.24828893647713515
M3.1,322666.7634793572,0.2767692024574902
M3.1,324469.3710965603,0.30851632986880745
M3.1,326271.9787137634,0.34390504778196124
M3.1,328074.5863309665,0.3833530689938083
M3.1,329877.19394816965,0.42732602052455226
M3.1,331679.80156537273,0.4763429396734498
M3.1,333482.4091825759,0.5309824005058635
M3.1,335285.01679977897,0.5918893430859934
M3.1,337087.6244169821,0.6597826860645641
M3.1,338890.2320341852,0.7354638124770642
M3.1,340692.8396513883,0.8198260289151763
M3.1,342495.44726859144,0.9138651097232438
M3.1,344298.0548857945,1.018691050678854
M3.1,346100.6625029977,1.1355411708927803
M3.1,347903.27012020076,1.2657947175772835
M3.1,349705.8777374039,1.410989146071077
M3.1,351508.485354607,1.5728382672831192
M3.1,353311.0929718101,1.7532524767596966
M3.1,355113.7005890132,1.9543613041497259
M3.1,356916.3082062163,2.1785385492321767
M3.1,358718.91582341946,2.428430301200364
M3.2,0.0,3.368794326241135e-06
M3.2,1501.8604468356402,3.014688856468887e-06
M3.2,3003.7208936712805,2.660583386696639e-06
M3.2,4505.58134050692,2.3064779169243906e-06
M3.2,6007.441787342561,1.9523724471521426e-06
M3.2,7509.302234178202,1.5982669773798947e-06
M3.2,9011.16268101384,1.2441615076076467e-06
M3.2,10513.023127849481,8.900560378353986e-07
M3.2,12014.883574685122,7.092198581560284e-07
M3.2,13516.744021520763,7.092198581560284e-07
M3.2,15018.604468356403,7.092198581560284e-07
M3.2,16520.464915192042,7.092198581560284e-07
M3.2,18022.32536202768,7.092198581560284e-07
M3.2,19524.185808863323,7.092198581560284e-07
M3.2,21026.046255698962,7.092198581560284e-07
M3.2,22527.906702534605,7.092198581560284e-07
M3.2,24029.767149370244,7.092198581560284e-07
M3.2,25531.627596205883,7.092198581560284e-07
M3.2,27033.488043041525,7.092198581560284e-07
M3.2,28535.348489877164,7.092198581560284e-07
M3.2,30037.208936712806,7.092198581560284e-07
M3.2,31539.069383548445,7.092198581560284e-07
M3.2,33040.929830384084,7.092198581560284e-07
M3.2,34542.79027721973,7.092198581560284e-07
M3.2,36044.65072405536,7.092198581560284e-07
